hedge_id,projet_id,projet,type_hedge,date,année,trimestre,mois,price
206,APV1,Agri-PV 1,,2022-01-01,2022,1,1,
207,APV2,Agri-PV 2,,2022-01-01,2022,1,1,
208,APV3,Agri-PV 3,,2022-01-01,2022,1,1,
209,APV4,Agri-PV 4,,2022-01-01,2022,1,1,
210,APV5,Agri-PV 5,,2022-01-01,2022,1,1,
211,APV6,Agri-PV 6,,2022-01-01,2022,1,1,
212,APV7,Agri-PV 7,,2022-01-01,2022,1,1,
213,APV8,Agri-PV 8,,2022-01-01,2022,1,1,
214,APV9,Agri-PV 9,,2022-01-01,2022,1,1,
218,AMI01,AO/AMI 2022-1,,2022-01-01,2022,1,1,
219,AMI02,AO/AMI 2022-2,,2022-01-01,2022,1,1,
220,AMI03,AO/AMI 2022-3,,2022-01-01,2022,1,1,
221,SE14,Argilliers,,2022-01-01,2022,1,1,
222,S14,Avignonet Barbette,,2022-01-01,2022,1,1,
227,S13,Bram,,2022-01-01,2022,1,1,
230,AURA05,Prospection PV AURA - 5,,2022-01-01,2022,1,1,
231,S09,Extension Avignonet,,2022-01-01,2022,1,1,
235,S15,Crayssac,,2022-01-01,2022,1,1,
237,SE12,Estézargues (PV),,2022-01-01,2022,1,1,
243,AURA13,Prospection PV MC - 3,,2022-01-01,2022,1,1,
249,AURA14,Coucouron (Laoune),,2022-01-01,2022,1,1,
252,SE09,Heintz (PV),,2022-01-01,2022,1,1,
254,GO32,Igoville Lafarge,,2022-01-01,2022,1,1,
255,B3,baurèch,,2022-01-01,2022,1,1,
261,S12,Mas Saintes-Puelles,,2022-01-01,2022,1,1,
262,SE11,Cruis,,2022-01-01,2022,1,1,
265,S11,Miremont,,2022-01-01,2022,1,1,
287,B6,Plaisance,,2022-01-01,2022,1,1,
292,SO18,Chantillac,,2022-01-01,2022,1,1,
293,SO19,Prospection AK 2,,2022-01-01,2022,1,1,
294,SO20,Prospection AK 3,,2022-01-01,2022,1,1,
295,SO28,Prospection AK 4,,2022-01-01,2022,1,1,
296,SO29,Prospection AK 5,,2022-01-01,2022,1,1,
302,AURA29,Prospection PV MC - 1,,2022-01-01,2022,1,1,
305,AURA31,Orléat,,2022-01-01,2022,1,1,
309,AURA38,Montilly,,2022-01-01,2022,1,1,
310,AURA39,Prospection PV AURA - 6,,2022-01-01,2022,1,1,
313,NGE12,Prospection NGE 12 (PV),,2022-01-01,2022,1,1,
315,NGE14,Prospection NGE 14 (PV),,2022-01-01,2022,1,1,
316,NGE15,Prospection NGE 15 (PV),,2022-01-01,2022,1,1,
317,NGE16,Prospection NGE 16 (PV),,2022-01-01,2022,1,1,
318,NGE17,Prospection NGE 17 (PV),,2022-01-01,2022,1,1,
320,NGE2,Prospection NGE 2 (PV),,2022-01-01,2022,1,1,
321,NGE22,Prospection NGE 22 (PV),,2022-01-01,2022,1,1,
322,NGE23,Prospection NGE 23 (PV),,2022-01-01,2022,1,1,
323,NGE4,Prospection NGE 4 (PV),,2022-01-01,2022,1,1,
327,GO06,Prospection PV 2022 (Igoville Commune),,2022-01-01,2022,1,1,
328,AURA40,Prospection PV MC - 2,,2022-01-01,2022,1,1,
331,AURA45,Prospection PV MC - 4,,2022-01-01,2022,1,1,
333,AURA47,Agri-PV AURA -1,,2022-01-01,2022,1,1,
334,AURA48,Agri-PV AURA -2,,2022-01-01,2022,1,1,
337,GO12,Prospection PV GO 2022 - 3 - ,,2022-01-01,2022,1,1,
338,BFC03,Gurgy (Nouzeau),,2022-01-01,2022,1,1,
339,BFC04,Rosoy (Plaine de Nange),,2022-01-01,2022,1,1,
340,BFC05,Villemanoche CEMEX (La Herse),,2022-01-01,2022,1,1,
342,GO30,Prospection PV Ouest - 1 -,,2022-01-01,2022,1,1,
343,GO34,Prospection PV Ouest - 2 -,,2022-01-01,2022,1,1,
344,GO35,Prospection PV Ouest - 3 -,,2022-01-01,2022,1,1,
345,GO36,Prospection PV Ouest - 4 -,,2022-01-01,2022,1,1,
346,GO37,Prospection PV Ouest - 5 -,,2022-01-01,2022,1,1,
347,GO38,Prospection PV Ouest - 6 -,,2022-01-01,2022,1,1,
348,S01,Prospection S 1,,2022-01-01,2022,1,1,
349,S02,Prospection S 2,,2022-01-01,2022,1,1,
350,S03,Prospection S 3,,2022-01-01,2022,1,1,
351,S04,Prospection S 4,,2022-01-01,2022,1,1,
352,S05,Prospection S 5,,2022-01-01,2022,1,1,
353,S20,Prospection S20,,2022-01-01,2022,1,1,
354,S21,Prospection S21,,2022-01-01,2022,1,1,
355,S22,Prospection S22,,2022-01-01,2022,1,1,
356,S23,Prospection S23,,2022-01-01,2022,1,1,
357,S24,Prospection S24,,2022-01-01,2022,1,1,
358,S25,Prospection S25,,2022-01-01,2022,1,1,
359,S26,Prospection S26,,2022-01-01,2022,1,1,
360,S27,Prospection S27,,2022-01-01,2022,1,1,
361,S06,Prospection S6,,2022-01-01,2022,1,1,
362,S07,Prospection S7,,2022-01-01,2022,1,1,
363,S08,Prospection S8,,2022-01-01,2022,1,1,
364,S19,Prospection S-O 11,,2022-01-01,2022,1,1,
365,S16,Prospection S-O 7 (PV),,2022-01-01,2022,1,1,
366,S17,Prospection S-O 8 (PV),,2022-01-01,2022,1,1,
367,S10,Prospection S-O 9 (PV),,2022-01-01,2022,1,1,
368,B4,Jean-Grégoire / folles,,2022-01-01,2022,1,1,
369,B11,Prospection solaire Bdx 9,,2022-01-01,2022,1,1,
370,B7,Prospection Solaire MPL,,2022-01-01,2022,1,1,
371,B2,prospection solaire Nantes,,2022-01-01,2022,1,1,
372,B10,Prospection solaire Nantes 2,,2022-01-01,2022,1,1,
373,SE18,Prospection sud-est 10 (PV),,2022-01-01,2022,1,1,
374,SE08,Prospection sud-est 3 (PV),,2022-01-01,2022,1,1,
375,SE16,Prospection sud-est 8 (PV) - Le Luc / Pujaut / Villeneuve,,2022-01-01,2022,1,1,
376,SE17,Prospection sud-est 9 (PV) - Riez / prospect ,,2022-01-01,2022,1,1,
378,GO09,Prospection TL PV 2022,,2022-01-01,2022,1,1,
382,BFC07,Prospection PV BFC - 3,,2022-01-01,2022,1,1,
385,BFC08,Prospection PV BFC - 1,,2022-01-01,2022,1,1,
386,BFC09,Prospection PV BFC - 2,,2022-01-01,2022,1,1,
389,BFC10,Prospection PV BFC - 4,,2022-01-01,2022,1,1,
391,SE04,La Motte (PV) ,,2022-01-01,2022,1,1,
392,BFC11,Prospection PV BFC - 5,,2022-01-01,2022,1,1,
394,BFC13,Prospection PV BFC - 3,,2022-01-01,2022,1,1,
400,SO13,Chauvigny,,2022-01-01,2022,1,1,
401,SO09,St Christoly de Blaye,,2022-01-01,2022,1,1,
404,SO21,Task solaire SO 1,,2022-01-01,2022,1,1,
405,SO22,Task solaire SO 2,,2022-01-01,2022,1,1,
408,BFC15,Prospection PV BFC - 6,,2022-01-01,2022,1,1,
206,APV1,Agri-PV 1,,2022-02-01,2022,1,2,
207,APV2,Agri-PV 2,,2022-02-01,2022,1,2,
208,APV3,Agri-PV 3,,2022-02-01,2022,1,2,
209,APV4,Agri-PV 4,,2022-02-01,2022,1,2,
210,APV5,Agri-PV 5,,2022-02-01,2022,1,2,
211,APV6,Agri-PV 6,,2022-02-01,2022,1,2,
212,APV7,Agri-PV 7,,2022-02-01,2022,1,2,
213,APV8,Agri-PV 8,,2022-02-01,2022,1,2,
214,APV9,Agri-PV 9,,2022-02-01,2022,1,2,
218,AMI01,AO/AMI 2022-1,,2022-02-01,2022,1,2,
219,AMI02,AO/AMI 2022-2,,2022-02-01,2022,1,2,
220,AMI03,AO/AMI 2022-3,,2022-02-01,2022,1,2,
221,SE14,Argilliers,,2022-02-01,2022,1,2,
222,S14,Avignonet Barbette,,2022-02-01,2022,1,2,
227,S13,Bram,,2022-02-01,2022,1,2,
230,AURA05,Prospection PV AURA - 5,,2022-02-01,2022,1,2,
231,S09,Extension Avignonet,,2022-02-01,2022,1,2,
235,S15,Crayssac,,2022-02-01,2022,1,2,
237,SE12,Estézargues (PV),,2022-02-01,2022,1,2,
243,AURA13,Prospection PV MC - 3,,2022-02-01,2022,1,2,
249,AURA14,Coucouron (Laoune),,2022-02-01,2022,1,2,
252,SE09,Heintz (PV),,2022-02-01,2022,1,2,
254,GO32,Igoville Lafarge,,2022-02-01,2022,1,2,
