asset_id,projet_id,projet,date,année,trim,mois,p50_adj,p90_adj
1,ALBE,Ally Bessadous,2022-01-01,2022,Q1-22,1,2263.8404137,2064.18931704
2,ALME,Ally Mercoeur,2022-01-01,2022,Q1-22,1,1507.5778515400002,1374.62255364
3,ALMO,Ally Monteil,2022-01-01,2022,Q1-22,1,1958.07452628,1785.38933142
4,ALVE,Ally Verseilles,2022-01-01,2022,Q1-22,1,2370.38912006,2161.34134268
5,ART1,Artois 1,2022-01-01,2022,Q1-22,1,3848.5022273099994,3606.6227021799996
6,ART2,Artois 2,2022-01-01,2022,Q1-22,1,2759.8146252499996,2586.3594372
7,AVI1,Avignonet I,2022-01-01,2022,Q1-22,1,1615.0,1501.0
8,AVI2,Avignonet II,2022-01-01,2022,Q1-22,1,1007.0,931.0
9,BTN1,Basse Thiérache Nord 1 ,2022-01-01,2022,Q1-22,1,3496.90665948,3121.70172349
10,BTN2,Basse Thiérache Nord 2,2022-01-01,2022,Q1-22,1,1783.30303417,1591.96132504
11,BASS,Bassigny,2022-01-01,2022,Q1-22,1,2400.2026321,2237.0820615
12,BAZO,Bazougeais,2022-01-01,2022,Q1-22,1,3617.27414268,3166.48921909
13,PBBF,Blanches Fosses PBF,2022-01-01,2022,Q1-22,1,3286.83864348,2921.97228676
14,GO01,Bois des Fontaines (BDF),2022-01-01,2022,Q1-22,1,,
15,BSLL,Boralex Solaire Lauragais SAS,2022-01-01,2022,Q1-22,1,236.82038688,228.59218656
16,BSLC,Boralex Solaire Les Cigalettes SAS (Montfort),2022-01-01,2022,Q1-22,1,725.6871864000001,690.9906744
17,CALM,Calmont (Laur Eole Energie ),2022-01-01,2022,Q1-22,1,3223.3127630400004,2953.9015476900004
18,CHL2,Cham Longe II,2022-01-01,2022,Q1-22,1,1354.9681449500001,1266.1177755099998
19,CLRE,Cham Longe Repowering,2022-01-01,2022,Q1-22,1,10467.380000000001,9378.6
20,CHAR,Charmoy,2022-01-01,2022,Q1-22,1,2803.88651968,2611.34495808
21,CHMA,Chasse Marée,2022-01-01,2022,Q1-22,1,2416.6800000000003,2219.4
22,CHDG,Chemin de Grès,2022-01-01,2022,Q1-22,1,8617.47492065,7917.223331850001
23,CHEP,Chépy,2022-01-01,2022,Q1-22,1,749.24049544,687.82733822
24,COCO,Coat Conval,2022-01-01,2022,Q1-22,1,1211.79,1133.61
25,CDAR,Comes de l'Arce,2022-01-01,2022,Q1-22,1,2949.0173126400005,2727.549615
26,COBL,Coteaux du Blaiseron,2022-01-01,2022,Q1-22,1,3180.27345034,2849.2454723
27,COCL,Coulonges (CL),2022-01-01,2022,Q1-22,1,3358.72413555,3091.25393805
28,COCP,Coulonges (CP),2022-01-01,2022,Q1-22,1,3092.44019895,2846.17538925
29,CONT,Coulonges (NT),2022-01-01,2022,Q1-22,1,3165.0713202,2913.0225642
30,ECO3,Extension plaine d'Escrebieux (XPE),2022-01-01,2022,Q1-22,1,4657.7959438200005,3980.1295612799995
31,ESDB,Extension seuil de Bapaume (XSB),2022-01-01,2022,Q1-22,1,5014.35924228,4257.04182507
32,FIER,Fierville,2022-01-01,2022,Q1-22,1,2065.2980798,1909.1999743999997
33,FOPL,Fond de la Plaine,2022-01-01,2022,Q1-22,1,855.6313517599999,779.5752238499999
34,FOR1,Fortel 1,2022-01-01,2022,Q1-22,1,3123.98539992,2881.45788504
35,FOR2,Fortel 2,2022-01-01,2022,Q1-22,1,3282.7107784799996,3027.8607710399997
36,HDCO,Haut de Comble (HC),2022-01-01,2022,Q1-22,1,5829.7947554600005,5292.9231953
37,HDC1,Haut de Conge 1,2022-01-01,2022,Q1-22,1,2498.21728052,2305.2655457
38,HDC2,Haut de Conge 2,2022-01-01,2022,Q1-22,1,787.54708136,726.7202839
39,HDC3,Haut de Conge 3,2022-01-01,2022,Q1-22,1,2514.8447779000003,2320.6088066200005
40,IDBO,Inter deux bos (MET),2022-01-01,2022,Q1-22,1,8553.86970135,7737.98195592
41,LACI,La Citadelle,2022-01-01,2022,Q1-22,1,3037.33499904,2811.5871232000004
42,ECO1,La Grande Borne (LGB),2022-01-01,2022,Q1-22,1,2507.27755806,2187.23899914
43,CATE,Le Catésis (CAT),2022-01-01,2022,Q1-22,1,3668.70592754,3366.0162571399997
44,LGCA,Le Grand Camp,2022-01-01,2022,Q1-22,1,2894.59266228,2684.88
45,LEPE,Le Pelon,2022-01-01,2022,Q1-22,1,2995.40886894,2681.50941717
46,LEAG,Leign ar Gasprenn,2022-01-01,2022,Q1-22,1,1753.7,1642.55
47,LCLE,Les Clérimois,2022-01-01,2022,Q1-22,1,1846.43154056,1711.92327526
48,LEPA,Les Eparmonts,2022-01-01,2022,Q1-22,1,2500.267209,2337.7498498200002
49,LMDB,Les Moulins de Boulay,2022-01-01,2022,Q1-22,1,2001.5924742000002,1858.62158064
50,MELC,Ménétréols Les chênes (La vallée 3),2022-01-01,2022,Q1-22,1,1174.4316230800002,1090.23680529
51,MELI,Ménétréols Lizeray (La vallée 4),2022-01-01,2022,Q1-22,1,934.24996754,867.2737306800001
52,MERE,Ménétréols Renardiére (La vallée 2),2022-01-01,2022,Q1-22,1,4592.10081341,4262.89378764
53,MDB1,Monts de Bagny 1,2022-01-01,2022,Q1-22,1,3785.7894871500002,3522.43911685
54,MDB2,Monts de Bagny 2,2022-01-01,2022,Q1-22,1,3853.1458844000003,3585.1100006
55,MORL,Morlange,2022-01-01,2022,Q1-22,1,2351.31708924,2173.6983176999997
56,NIBA,Nibas,2022-01-01,2022,Q1-22,1,2212.5000375,1997.5714625
57,NOYE,Noyers Bucamps NOB,2022-01-01,2022,Q1-22,1,2601.4808654,2433.10140298
58,PANN,Pannecé (BS),2022-01-01,2022,Q1-22,1,2489.379624,2287.196508
59,PANV,Pannecé La Vallière,2022-01-01,2022,Q1-22,1,2233.3997759999997,2052.0069
60,XSAN,Parc du Santerre (XSAN),2022-01-01,2022,Q1-22,1,4994.3827095,4391.0344464
61,PDO1,Pays d'Othe 1,2022-01-01,2022,Q1-22,1,2250.1508102000003,2076.7427796
62,SE01,Peyrolles,2022-01-01,2022,Q1-22,1,843.5555999999999,773.2223
