id,hedge_id,asset_id,projet_id,projet,technologie,type_hedge,date_debut,date_fin,date_dementelement,puissance_installée,en_planif,profil,pct_couverture,contrepartie,pays_contrepartie
1,1,1,ALBE,Ally Bessadous,éolien,PPA,2021-01-01,2025-12-31,2028-06-30,8.7,FALSE,As produced,1,Orange,France
2,2,2,ALME,Ally Mercoeur,éolien,PPA,2021-01-01,2025-12-31,2028-06-30,5.74,FALSE,As produced,1,Orange,France
3,3,3,ALMO,Ally Monteil,éolien,PPA,2021-01-01,2025-12-31,2028-06-30,7.46,FALSE,As produced,1,Orange,France
4,4,4,ALVE,Ally Verseilles,éolien,PPA,2021-01-01,2025-12-31,2028-06-30,9.03,FALSE,As produced,1,Orange,France
5,5,5,ART1,Artois 1,éolien,OA,2017-11-21,2032-11-20,,13.1,FALSE,As produced,1,,
6,6,6,ART2,Artois 2,éolien,OA,2017-11-21,2032-11-20,,10,FALSE,As produced,1,,
7,7,7,AVI1,Avignonet,éolien,,2002-11-01,2017-10-31,,8,FALSE,As produced,1,,
8,8,8,AVI2,Avignonet II,éolien,OA,2008-12-29,2022-09-30,,4.6,FALSE,As produced,1,,
9,9,9,BTN1,Basse Thiérache Nord 1 ,éolien,CR16,2019-02-01,2034-01-31,,12.8,FALSE,As produced,1,,
10,10,10,BTN2,Basse Thiérache Nord 2,éolien,CR16,2019-02-01,2034-01-31,,7,FALSE,As produced,1,,
11,11,11,BASS,Bassigny,éolien,OA,2009-01-12,2022-09-30,,12,FALSE,As produced,1,,
12,12,12,BAZO,Bazougeais,éolien,CR17,2021-05-01,2041-04-30,,12,FALSE,As produced,1,,
13,13,13,PBBF,Blanches Fosses PBF ,éolien,CR17,2020-11-01,2040-10-31,,11,FALSE,As produced,1,,
14,14,14,GO01,Bois des Fontaines (BDF),éolien,CR,2022-09-01,2042-08-31,,20.16,FALSE,As produced,1,,
15,15,15,BSLL,Boralex Solaire Lauragais SAS,solaire,OA,2011-06-15,2031-06-14,,4.5,FALSE,As produced,1,,
16,16,16,BSLC,Boralex Solaire Les Cigalettes SAS (Montfort),solaire,OA,2015-09-29,2035-09-28,,9.8,FALSE,As produced,1,,
17,17,17,CALM,Calmont (Laur Eole Energie ),éolien,OA,2015-12-06,2030-12-05,,14.35,FALSE,As produced,1,,
18,18,18,CHL2,Cham Longe II,éolien,OA,2010-02-01,2022-09-30,2025-06-30,4.6,FALSE,As produced,1,,
