hedge_id,projet_id,projet,type_hedge,date,année,trim,mois,p50_adj,p90_adj
5,ART1,Artois 1,OA,2022-01-01,2022,Q1-22,1,-3958.7548,-3709.9458
6,ART2,Artois 2,OA,2022-01-01,2022,Q1-22,1,-2838.8782,-2660.4539
8,AVI2,Avignonet II,OA,2022-01-01,2022,Q1-22,1,-1050.46,-971.18
11,BASS,Bassigny,OA,2022-01-01,2022,Q1-22,1,-2306.8499,-2150.0737
15,BSLL,Boralex Solaire Lauragais SAS,OA,2022-01-01,2022,Q1-22,1,-250.9589,-242.2395
16,BSLC,Boralex Solaire Les Cigalettes SAS (Montfort),OA,2022-01-01,2022,Q1-22,1,-833.4181,-793.5707
17,CALM,Calmont (Laur Eole Energie ),OA,2022-01-01,2022,Q1-22,1,-3382.9815,-3100.2248
18,CHL2,Cham Longe II,OA,2022-01-01,2022,Q1-22,1,-1380.8593,-1290.3111
20,CHAR,Charmoy,OA,2022-01-01,2022,Q1-22,1,-2750.8525,-2561.9527
21,CHMA,Chasse Marée,OA,2022-01-01,2022,Q1-22,1,-2549.96,-2341.8
22,CHDG,Chemin de Grès,OA,2022-01-01,2022,Q1-22,1,-8873.365,-8152.3199
24,COCO,Coat Conval,OA,2022-01-01,2022,Q1-22,1,-1245.27,-1164.93
25,CDAR,Comes de l'Arce,OA,2022-01-01,2022,Q1-22,1,-2888.4874,-2671.5654
26,COBL,Coteaux du Blaiseron,OA,2022-01-01,2022,Q1-22,1,-3100.38,-2777.668
27,COCL,Coulonges (CL),OA,2022-01-01,2022,Q1-22,1,-3307.4665,-3044.0782
28,COCP,Coulonges (CP),OA,2022-01-01,2022,Q1-22,1,-3045.2463,-2802.7398
29,CONT,Coulonges (NT),OA,2022-01-01,2022,Q1-22,1,-3116.769,-2868.5668
32,FIER,Fierville,OA,2022-01-01,2022,Q1-22,1,-2156.3112,-1993.3342
33,FOPL,Fond de la Plaine,OA,2022-01-01,2022,Q1-22,1,-934.5708,-851.4979
34,FOR1,Fortel 1,OA,2022-01-01,2022,Q1-22,1,-3275.4031,-3021.1204
