id,hedge_id,id,projet_id,projet,technologie,cod,date_merchant,date_dementelement,puissance_installée,en_planif
1,206,1,APV1,Agri-PV 1,solaire,2027-09-01,2047-09-01,,1.477,True
2,207,2,APV2,Agri-PV 2,solaire,2027-09-01,2047-09-01,,1.477,True
3,208,3,APV3,Agri-PV 3,solaire,2027-09-01,2047-09-01,,1.477,True
4,209,4,APV4,Agri-PV 4,solaire,2027-09-01,2047-09-01,,1.477,True
5,210,5,APV5,Agri-PV 5,solaire,2027-09-01,2047-09-01,,1.477,True
6,211,6,APV6,Agri-PV 6,solaire,2028-09-01,2048-09-01,,1.477,True
7,212,7,APV7,Agri-PV 7,solaire,2028-09-01,2048-09-01,,1.477,True
8,213,8,APV8,Agri-PV 8,solaire,2028-09-01,2048-09-01,,1.477,True
9,214,9,APV9,Agri-PV 9,solaire,2028-09-01,2048-09-01,,1.477,True
10,215,10,AURA01,Deux-Chaises et le Theil,éolien,2027-10-01,2047-10-01,,15.200,True
11,216,11,AURA02,Massif du Devès,éolien,2025-08-01,2045-08-01,,12.816,True
12,217,12,AURA03,Chazemais (Les Brandes),éolien,2028-01-01,2048-01-01,,19.200,True
13,218,13,AMI01,AO/AMI 2022-1,solaire,2026-07-01,2046-07-01,,18.468,True
14,219,14,AMI02,AO/AMI 2022-2,solaire,2026-10-01,2046-10-01,,18.468,True
15,220,15,AMI03,AO/AMI 2022-3,solaire,2027-02-01,2047-02-01,,14.774,True
16,221,16,SE14,Argilliers,solaire,2025-07-01,2045-07-01,,18.468,True
17,222,17,S14,Avignonet Barbette,solaire,2025-05-01,2045-05-01,,7.695,True
18,223,18,NGE6,Bachant,éolien,2027-04-01,2047-04-01,,17.280,True
19,224,19,AURA04,Blomard - BMF,éolien,2028-04-01,2048-04-01,,16.000,True
20,225,20,ECO5,Les Cent Mencaudées (SOL),éolien,2024-01-01,2044-01-01,,15.000,True
21,226,21,GE2,Bonnecourt-Chauffourt,éolien,2030-07-01,2050-07-01,,16.560,True
22,227,22,S13,Bram,solaire,2025-07-01,2045-07-01,,6.156,True
23,228,23,ECO8,Bois de St-Aubert (WAL)*,éolien,2024-01-01,2044-01-01,,18.000,True
24,229,24,GO08,Canville-les-deux-eglises (co-dev KDE),éolien,2027-01-01,2047-01-01,,14.400,True
25,230,25,AURA05,Prospection PV AURA - 5,solaire,2026-08-01,2046-08-01,,6.156,True
26,231,26,S09,Extension Avignonet,solaire,2024-03-01,2044-03-01,,11.850,True
27,232,27,AURA06,Saint-Angel,éolien,2027-11-01,2047-11-01,,11.520,True
28,233,28,AURA08,Forêt de Bauzon,éolien,2027-08-01,2047-08-01,,22.400,True
29,234,29,AURA09,Extension Sources de la Loire,éolien,2026-01-01,2046-01-01,,9.600,True
30,235,30,S15,Crayssac,solaire,2025-12-01,2045-12-01,,8.003,True
